PatchID,Juv.Sub.Adult,Ninds
1,Adult,5
1,Sub,2
2,Adult,4.5
2,Sub,2
3,Adult,2.5
3,Sub,0.5
4,Adult,5
5,Adult,6
5,Sub,4
6,Adult,3
7,Adult,4
8,Adult,10
8,Sub,1
9,Adult,14
9,Sub,3
10,Adult,7
11,Adult,6
11,Sub,1
12,Adult,2
